index,desc
1,Tuberculosis
2,Syphilis
3,Human immunodeficiency virus (HIV)
4,Malignant neoplasms
5,Malignant neoplasm of stomach
6,"Malignant neoplasms of colon, rectum and anus"
7,Malignant neoplasm of pancreas
8,"Malignant neoplasms of trachea, bronchus and lung"
9,Malignant neoplasm of breast
10,"Malignant neoplasms of cervix uteri, corpus uteri and ovary"
11,Malignant neoplasm of prostate
12,Malignant neoplasms of urinary tract
13,Non-Hodgkin's lymphoma
14,Leukemia
15,Other malignant neoplasms
16,Diabetes mellitus
17,Alzheimer's disease
18,Major cardiovascular diseases
19,Diseases of heart
20,Hypertensive heart disease with or without renal disease
21,Ischemic heart diseases
22,Other diseases of heart
23,Essential hypertension and hypertensive renal disease
24,Cerebrovascular diseases
25,Atherosclerosis
26,Other diseases of circulatory system
27,Influenza and pneumonia
28,Chronic lower respiratory diseases
29,Peptic ulcer
30,Chronic liver disease and cirrhosis
31,"Nephritis, nephrotic syndrome, and nephrosis"
32,"Pregnancy, childbirth and the puerperium"
33,Certain conditions originating in the perinatal period
34,"Congenital malformations, deformations and chromosomal abnormalities"
35,Sudden infant death syndrome
36,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
37,All other diseases
38,Motor vehicle accidents
39,All other and unspecified accidents and adverse effects
40,Intentional self-harm (suicide)
41,Assault (homicide)
42,All other external causes
